price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type
599.900 kr.;2016;97000;2016-10-25;Benzin;12.3;367;A
369.900 kr.;2019;117000;2018-09-07;Diesel;23.4;194;A
359.900 kr.;2019;123000;2019-01-23;Diesel;25;194;A
319.900 kr.;2018;167000;2018-04-25;Diesel;21.3;170;A
224.900 kr.;2017;246000;2017-05-01;Diesel;22.7;170;A
434.900 kr.;2020;56000;2019-12-16;Plug-in hybrid Diesel;32.2;306;A
319.900 kr.;2017;139000;2018-08-01;Diesel;21.3;170;A
84.900 kr.;2008;325000;2008-08-18;Diesel;14.7;170;A
319.900 kr.;2018;187500;2018-07-02;Diesel;21.3;170;A
479.800 kr.;2020;7000;2021-04-13;Plug-in hybrid Diesel;32.2;306;A
269.800 kr.;2016;178000;2015-10-09;Diesel;22.7;170;A
264.900 kr.;2015;164000;2014-06-02;Diesel;22.7;170;A
279.800 kr.;2016;125000;2015-08-14;Diesel;23.3;136;A
169.800 kr.;2011;125000;2011-12-09;Diesel;20.8;136;M
269.900 kr.;2015;187000;2014-08-12;Diesel;23.3;170;A
599.800 kr.;2017;107000;2017-02-28;Diesel;21.7;204;A
189.900 kr.;2015;225000;2015-02-16;Diesel;23.3;136;M
379.900 kr.;2019;67000;2019-04-11;Diesel;23.9;194;A
489.900 kr.;2018;25000;2018-04-11;Benzin;15.4;156;A
339.900 kr.;2016;233000;2016-01-04;Benzin;13;333;A
299.700 kr.;2017;138000;2017-04-28;Diesel;21.3;170;A
319.400 kr.;2017;95000;2018-02-13;Diesel;21.7;170;A
639.900 kr.;2022;24000;2022-04-12;Plug-in hybrid Benzin;40.6;313;A
479.800 kr.;2021;27200;2020-10-22;Plug-in hybrid Benzin;31.1;320;A
169.800 kr.;2013;166000;2013-04-02;Diesel;20.8;136;M
529.900 kr.;2022;6000;2022-03-28;Diesel;25.7;200;A
639.800 kr.;2022;7000;2022-03-28;Diesel;25.7;200;A
579.900 kr.;2022;8000;2022-03-29;Diesel;25.7;200;A
574.900 kr.;2022;12000;2022-03-24;Diesel;25.7;200;A
589.900 kr.;2022;7000;2022-02-17;Diesel;26.9;200;A
629.800 kr.;2022;5000;2022-02-17;Benzin;18.3;204;A
549.900 kr.;2022;14000;2022-03-21;Benzin;18.9;204;A
359.900 kr.;2017;126000;2017-06-30;Diesel;21.3;170;A
349.900 kr.;2019;129000;2018-12-10;Diesel;20.8;194;A
499.800 kr.;2020;8000;2020-07-10;Plug-in hybrid Benzin;28.8;320;A
264.700 kr.;2016;209000;2015-09-22;Diesel;22.2;170;A
179.800 kr.;2014;206000;2014-06-21;Diesel;20;170;A
144.900 kr.;2013;160000;2013-05-30;Diesel;20.8;120;M
349.900 kr.;2018;174000;2018-10-31;Diesel;23.4;194;A
299.700 kr.;2017;139000;2017-12-15;Diesel;22.7;170;A
469.000 kr.;2021;49000;2020-11-18;Diesel;22.8;194;A
499.900 kr.;2020;44000;2020-01-30;Diesel;22;245;A
449.800 kr.;2020;13000;2020-12-04;Plug-in hybrid Diesel;31.6;306;A
489.800 kr.;2021;14000;2020-11-17;Plug-in hybrid Diesel;32.2;306;A
124.900 kr.;2013;242000;2012-08-16;Diesel;20.8;136;M
199.800 kr.;2016;386000;2015-10-08;Diesel;22.7;170;A
359.600 kr.;2019;99000;2018-09-20;Diesel;22.9;194;A
649.900 kr.;2022;16000;2022-03-01;Diesel;26.9;200;A
644.900 kr.;2022;19000;2022-02-22;Diesel;25.7;200;A
369.900 kr.;2020;97000;2019-07-31;Diesel;22.9;194;A
465.000 kr.;2021;24000;2020-10-01;Plug-in hybrid Diesel;32.2;306;A
350.000 kr.;2019;85000;2018-07-17;Diesel;22.9;194;A
274.900 kr.;2015;194000;2015-08-01;Diesel;22.2;170;A
79.900 kr.;2012;279000;2012-04-26;Diesel;20.8;120;M
49.900 kr.;2009;292000;2009-02-26;Diesel;16.7;136;M
459.900 kr.;2021;57000;2020-11-18;Diesel;22.8;194;A
319.900 kr.;2016;85000;2016-06-29;Benzin;18.9;184;A
249.900 kr.;2016;202000;2016-01-20;Diesel;22.7;170;A
329.900 kr.;2018;150000;2018-12-03;Diesel;22.9;194;A
109.999 kr.;2012;320000;2012-06-01;Diesel;19.6;136;A
334.800 kr.;2016;59000;2016-01-29;Plug-in hybrid Benzin;30.2;279;A
289.400 kr.;2017;112000;2017-07-26;Diesel;22.7;170;A
379.900 kr.;2019;161000;2019-02-27;Diesel;21.3;194;A
639.900 kr.;2022;13000;2021-12-20;Plug-in hybrid Benzin;40.6;313;A
639.900 kr.;2022;7000;2021-12-20;Plug-in hybrid Benzin;40.6;313;A
589.900 kr.;2022;7000;2021-10-29;Diesel;23.3;265;A
594.900 kr.;2022;9000;2021-10-29;Diesel;23.3;265;A
529.900 kr.;2022;18000;2021-11-01;Diesel;26.9;200;A
599.900 kr.;2022;11000;2021-10-01;Diesel;26.9;200;A
534.900 kr.;2022;7000;2021-12-17;Diesel;25.7;200;A
624.900 kr.;2022;2000;2021-12-20;Diesel;25.7;200;A
899.900 kr.;2018;49000;2017-10-18;Benzin;11.9;367;A
624.900 kr.;2022;11000;2021-11-24;Diesel;25.7;200;A
564.900 kr.;2022;15000;2021-11-12;Diesel;25.7;200;A
544.900 kr.;2022;18000;2021-11-01;Benzin;18.9;204;A
594.900 kr.;2022;10000;2021-11-11;Diesel;26.9;200;A
524.900 kr.;2022;11000;2021-10-22;Diesel;26.9;200;A
574.900 kr.;2022;8000;2021-10-21;Diesel;26.9;200;A
529.900 kr.;2022;5000;2021-10-21;Diesel;26.9;200;A
534.900 kr.;2022;6000;2021-10-21;Diesel;26.9;200;A
589.900 kr.;2022;16000;2021-10-22;Diesel;26.9;200;A
529.900 kr.;2022;7000;2021-10-21;Benzin;18.3;204;A
564.900 kr.;2022;16000;2021-10-21;Benzin;18.3;204;A
569.900 kr.;2022;6000;2021-10-21;Benzin;18.3;204;A
629.800 kr.;2022;1000;2021-11-15;Benzin;18.3;204;A
549.900 kr.;2022;17000;2021-11-01;Benzin;18.3;204;A
599.900 kr.;2022;7000;2021-11-16;Benzin;18.3;204;A
569.900 kr.;2022;8000;2021-11-25;Benzin;18.3;204;A
569.900 kr.;2022;11000;2021-12-20;Benzin;18.3;204;A
559.800 kr.;2022;7000;2021-11-29;Benzin;18.3;204;A
624.800 kr.;2022;7000;2021-11-17;Benzin;18.3;204;A
569.900 kr.;2022;10000;2021-11-11;Benzin;18.9;204;A
519.900 kr.;2022;10000;2021-10-25;Benzin;18.9;204;A
509.900 kr.;2022;17000;2021-10-21;Benzin;18.9;204;A
525.100 kr.;2022;7000;2021-10-21;Benzin;18.9;204;A
519.900 kr.;2022;10000;2021-10-21;Benzin;18.9;204;A
174.900 kr.;2014;334000;2014-08-01;Diesel;22.7;170;A
